date,clicked,ignored,opened,reported,sent,open_rate,click_rate,report_rate,false_positive_rate,phishrisk_index,campaign_size
2025-09-28,45,132,292,24,469,0.6226012793176973,0.1541095890410959,0.5333333333333333,0.6567164179104478,0.08476027397260275,469
2025-09-29,85,161,394,24,551,0.7150635208711433,0.21573604060913706,0.2823529411764706,0.5962962962962963,0.12659599880561362,551
2025-09-30,77,143,392,33,560,0.7,0.19642857142857142,0.42857142857142855,0.5652173913043478,0.10803571428571429,560
2025-10-01,81,166,434,40,590,0.735593220338983,0.18663594470046083,0.49382716049382713,0.578397212543554,0.10264976958525346,590
2025-10-02,62,130,389,37,534,0.7284644194756554,0.15938303341902313,0.5967741935483871,0.5676855895196506,0.08766066838046273,534
2025-10-03,102,140,414,45,555,0.745945945945946,0.2463768115942029,0.4411764705882353,0.4878048780487805,0.1355072463768116,555
2025-10-04,73,147,350,35,519,0.674373795761079,0.20857142857142857,0.4794520547945205,0.5764705882352941,0.11471428571428573,519
2025-10-05,58,143,367,33,512,0.716796875,0.15803814713896458,0.5689655172413793,0.6111111111111112,0.08692098092643052,512
2025-10-06,114,138,419,38,557,0.7522441651705566,0.2720763723150358,0.3333333333333333,0.47586206896551725,0.1496420047732697,557
2025-10-07,109,128,402,29,544,0.7389705882352942,0.27114427860696516,0.26605504587155965,0.48120300751879697,0.16440458259162902,544
2025-10-08,69,150,390,39,532,0.7330827067669173,0.17692307692307693,0.5652173913043478,0.5813953488372093,0.09730769230769232,532
2025-10-09,77,150,387,42,548,0.7062043795620438,0.19896640826873385,0.5454545454545454,0.5576208178438662,0.10943152454780362,548
2025-10-10,89,141,416,44,567,0.7336860670194003,0.21394230769230768,0.4943820224719101,0.5145985401459854,0.11766826923076923,567
2025-10-11,80,157,396,40,562,0.7046263345195729,0.20202020202020202,0.5,0.5667870036101083,0.11111111111111112,562
2025-10-12,88,170,417,42,623,0.6693418940609952,0.21103117505995203,0.4772727272727273,0.5666666666666667,0.11606714628297363,623
2025-10-13,76,166,370,37,533,0.6941838649155723,0.20540540540540542,0.4868421052631579,0.5949820788530465,0.11297297297297298,533
2025-10-14,89,165,393,27,551,0.7132486388384754,0.22646310432569974,0.30337078651685395,0.5871886120996441,0.12455470737913486,551
2025-10-15,75,145,379,29,532,0.7124060150375939,0.19788918205804748,0.38666666666666666,0.5823293172690763,0.10883905013192613,532
2025-10-16,88,133,408,37,568,0.7183098591549296,0.21568627450980393,0.42045454545454547,0.5155038759689923,0.11862745098039217,568
2025-10-17,80,138,377,34,494,0.7631578947368421,0.21220159151193635,0.425,0.5476190476190477,0.116710875331565,494
2025-10-18,74,172,360,37,542,0.6642066420664207,0.20555555555555555,0.5,0.607773851590106,0.11305555555555556,542
2025-10-19,87,153,371,36,540,0.687037037037037,0.23450134770889489,0.41379310344827586,0.5543478260869565,0.1289757412398922,540
2025-10-20,75,140,413,35,559,0.738819320214669,0.18159806295399517,0.4666666666666667,0.56,0.09987893462469735,559
2025-10-21,71,142,403,37,563,0.7158081705150977,0.1761786600496278,0.5211267605633803,0.568,0.09689826302729529,563
2025-10-22,68,156,413,28,567,0.7283950617283951,0.16464891041162227,0.4117647058823529,0.6190476190476191,0.09055690072639226,567
2025-10-23,80,171,400,38,574,0.6968641114982579,0.2,0.475,0.5916955017301038,0.11000000000000001,574
2025-10-24,72,150,384,30,538,0.7137546468401487,0.1875,0.4166666666666667,0.5952380952380952,0.10312500000000001,538
2025-10-25,78,172,416,37,596,0.697986577181208,0.1875,0.47435897435897434,0.5993031358885017,0.10312500000000001,596
2025-10-26,98,155,412,44,578,0.71280276816609,0.23786407766990292,0.4489795918367347,0.5218855218855218,0.13082524271844662,578
2025-10-27,75,170,398,34,570,0.6982456140350877,0.1884422110552764,0.4533333333333333,0.6093189964157706,0.10364321608040203,570
2025-10-28,80,138,379,39,528,0.7178030303030303,0.21108179419525067,0.4875,0.5369649805447471,0.11609498680738788,528
2025-10-29,78,151,416,43,588,0.7074829931972789,0.1875,0.5512820512820513,0.5551470588235294,0.10312500000000001,588
2025-10-30,103,158,410,48,558,0.7347670250896058,0.25121951219512195,0.46601941747572817,0.511326860841424,0.13817073170731708,558
2025-10-31,85,158,392,28,569,0.6889279437609842,0.21683673469387754,0.32941176470588235,0.5830258302583026,0.11926020408163265,569
2025-11-01,112,129,418,32,551,0.7586206896551724,0.2679425837320574,0.2857142857142857,0.4725274725274725,0.15379699248120302,551
2025-11-02,86,153,397,34,562,0.7064056939501779,0.21662468513853905,0.3953488372093023,0.5604395604395604,0.11914357682619649,562
2025-11-03,90,143,441,34,574,0.7682926829268293,0.20408163265306123,0.37777777777777777,0.5355805243445693,0.11224489795918369,574
2025-11-04,68,146,357,31,520,0.6865384615384615,0.19047619047619047,0.45588235294117646,0.5959183673469388,0.10476190476190476,520
2025-11-05,91,152,415,41,576,0.7204861111111112,0.21927710843373494,0.45054945054945056,0.5352112676056338,0.12060240963855423,576
2025-11-06,67,155,405,40,568,0.7130281690140845,0.1654320987654321,0.5970149253731343,0.5916030534351145,0.09098765432098767,568
2025-11-07,67,146,384,39,541,0.7097966728280961,0.17447916666666666,0.582089552238806,0.5793650793650794,0.09596354166666667,541
2025-11-08,96,161,383,40,560,0.6839285714285714,0.2506527415143603,0.4166666666666667,0.5420875420875421,0.13785900783289817,560
2025-11-09,77,156,384,26,535,0.7177570093457943,0.20052083333333334,0.33766233766233766,0.6023166023166023,0.11028645833333335,535
2025-11-10,91,137,437,40,583,0.7495711835334476,0.20823798627002288,0.43956043956043955,0.5111940298507462,0.1145308924485126,583
2025-11-11,80,161,381,40,553,0.6889692585895117,0.2099737532808399,0.5,0.5729537366548043,0.11548556430446195,553
2025-11-12,22,41,104,8,106,0.9811320754716981,0.21153846153846154,0.36363636363636365,0.5774647887323944,0.11634615384615385,106
